trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
356,True,"{'a': 0, 'e': 0}",30,23,12.755151625744954,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
357,True,"{'a': 0, 'e': 0}",20,0,-37.506872549823896,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
358,True,"{'a': 0, 'e': 0}",20,0,28.826078051042668,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
359,True,"{'a': 0, 'e': 0}",20,0,22.86122630855778,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
360,True,"{'a': 0, 'e': 0}",20,0,-33.19689410818983,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
361,True,"{'a': 0, 'e': 0}",20,0,3.8978244595140152,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
362,True,"{'a': 0, 'e': 0}",25,12,22.94907244850281,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
363,True,"{'a': 0, 'e': 0}",20,0,27.40111957392174,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
364,True,"{'a': 0, 'e': 0}",25,11,16.05559471224118,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
365,True,"{'a': 0, 'e': 0}",20,8,21.816010811767537,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
366,True,"{'a': 0, 'e': 0}",25,0,29.86226570277532,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
367,True,"{'a': 0, 'e': 0}",20,0,9.368660340613422,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
368,True,"{'a': 0, 'e': 0}",20,11,19.39544714543334,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
369,True,"{'a': 0, 'e': 0}",25,18,13.580232831709417,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
370,True,"{'a': 0, 'e': 0}",20,0,10.580163165408873,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
371,True,"{'a': 0, 'e': 0}",25,19,11.902020606040395,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
372,True,"{'a': 0, 'e': 0}",35,24,21.303429430898436,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
373,True,"{'a': 0, 'e': 0}",25,3,36.64999631278978,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
374,True,"{'a': 0, 'e': 0}",25,0,9.323614291353454,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
375,True,"{'a': 0, 'e': 0}",25,0,24.731059556674463,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
376,True,"{'a': 0, 'e': 0}",20,8,21.483469231275524,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
377,True,"{'a': 0, 'e': 0}",25,11,26.131315587593207,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
