trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
2642,False,"{'a': 0.75, 'e': 0.07112460918398876}",20,10,18.40551651290669,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2643,False,"{'a': 0.75, 'e': 0.07105348457480477}",20,15,8.884546542530051,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
2644,False,"{'a': 0.75, 'e': 0.07098243109022996}",20,9,13.381153855547886,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
2645,False,"{'a': 0.75, 'e': 0.07091144865913973}",30,14,30.00364436517161,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
2646,False,"{'a': 0.75, 'e': 0.0708405372104806}",25,2,41.64373114507944,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
2647,False,"{'a': 0.75, 'e': 0.07076969667327011}",25,13,-8.208917022100831,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 0}",1
2648,False,"{'a': 0.75, 'e': 0.07069892697659684}",30,16,21.85536029101015,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2649,False,"{'a': 0.75, 'e': 0.07062822804962025}",25,8,31.18727308262917,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
2650,False,"{'a': 0.75, 'e': 0.07055759982157063}",20,10,20.470860151939842,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2651,False,"{'a': 0.75, 'e': 0.07048704222174906}",30,20,17.763062143023788,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2652,False,"{'a': 0.75, 'e': 0.0704165551795273}",20,15,10.976954756131592,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
2653,False,"{'a': 0.75, 'e': 0.07034613862434778}",20,7,24.62735482217922,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
2654,False,"{'a': 0.75, 'e': 0.07027579248572344}",30,20,20.924502693587677,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2655,False,"{'a': 0.75, 'e': 0.07020551669323771}",20,7,21.348076109614617,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
2656,False,"{'a': 0.75, 'e': 0.07013531117654447}",25,7,14.737013825637888,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
2657,False,"{'a': 0.75, 'e': 0.07006517586536792}",35,23,22.188354554217703,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2658,False,"{'a': 0.75, 'e': 0.06999511068950257}",20,9,19.903549516949738,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2659,False,"{'a': 0.75, 'e': 0.06992511557881305}",30,8,33.136365021684256,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
2660,False,"{'a': 0.75, 'e': 0.06985519046323424}",20,16,5.700580486357064,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
2661,False,"{'a': 0.75, 'e': 0.069785335272771}",30,16,24.899378243182266,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2662,False,"{'a': 0.75, 'e': 0.06971554993749823}",30,3,27.462095773892308,"{0: 25, 1: 0, 2: 2, 3: 0, 4: 0}",1
2663,False,"{'a': 0.75, 'e': 0.06964583438756074}",25,8,29.49756040192197,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
2664,False,"{'a': 0.75, 'e': 0.06957618855317318}",20,7,16.98756115855081,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
2665,False,"{'a': 0.75, 'e': 0.06950661236462001}",20,16,6.43862034399568,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
2666,False,"{'a': 0.75, 'e': 0.06943710575225538}",20,3,18.710929609936187,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
2667,False,"{'a': 0.75, 'e': 0.06936766864650314}",25,15,17.68330499156017,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2668,False,"{'a': 0.75, 'e': 0.06929830097785662}",25,15,18.279614369928222,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2669,False,"{'a': 0.75, 'e': 0.06922900267687877}",20,7,11.344749427304126,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
2670,False,"{'a': 0.75, 'e': 0.0691597736742019}",25,8,7.7053751789983185,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
